artifact_name,countr_of_origin,acquisition_date,created_date,description,continent
"Panel, window",Canada,2011,1982,Rectangular metal frame painted red on one side; off-white on interior edge and reverse; smoked blue [safety ?] glass has black synthetic [or possibly rubber ?] seal.,NA
"Panel, window",Canada,2011,1982,Rectangular metal frame painted red on one side; off-white on interior edge and reverse; smoked blue [safety ?] glass has black synthetic [or possibly rubber ?] seal.,NA
"Panel, window",Canada,2011,1982,Rectangular metal frame painted red on one side; off-white on interior edge and reverse; smoked blue [safety ?] glass has black synthetic [or possibly rubber ?] seal.,NA
"Frame, chair",Canada,2011,1982,Brushed silver metal frame; woven brown synthetic upholstered seat; wooden block [spacer ?] present on underside of chair frame.,NA
Rack,Canada,2011,1982,"Silver metal frame; grey metal and grey and off-white synthetic fittings; black and off-white synthetic coverings on cords, moulded switches, etc.; red synthetic indicator lights, etc.",NA
Rack,United Kingdom,2011,1982,"Predominantly silver metal unit has silver, black and off-white metal and synthetic fittings; green and brown synthetic circuit boards visible.",EU
Rack,Canada,2011,1982,Silver metal.,NA
Rack,Canada,2011,1982,"All- metal casing, painted black [currently covered in layer of fine brown dust ?]; interior painted off-white houses large metal pull-switch with red handled knob; exterior fitted with large black synthetic and silver metal plug head inside recessed metal well has threaded metal cover secured by metal link chain.",NA
Streetcar part,Canada,2011,1982,Brushed silver metal.,NA
Streetcar part,Canada,2011,1982,Brushed silver metal.,NA
Hardware collection,Canada,2011,1982,metal and synthetic materials,NA
"Charger, battery & fence",Canada,2011,2010,Black moulded synthetic casing; grey and silver metal components; metal bracket housing solar panel is painted black; bright red synthetic insulator.,NA
"Insert, box",Canada,2011,2010,Unbleached rigid cardboard.,NA
Box,Canada,2011,2010,Unbleached rigid cardboard.,NA
"Cord, power supply",Mexico,2011,2000,"Light grey synthetic covering on cord; opaque synthetic housings on plug-in connectors; silver and copper -colour metals and green, blue and brown synthetic coverings visible on internal wiring connections.",NA
Cable,Mexico,2011,2000,Opaque synthetic covering on metal cable; opaque synthetic housings on plug-in connectors; internal silver and copper-colour metals visible.,NA
Camera,Japan,2011,1998,"Synthetic & metal camera body is predominantly black, with silver/grey front panel and selected fittings; glass optics and view screen; clear synthetic flash emitter window.",AS
Strap,Japan,2011,1998,Woven synthetic fabric strap is blue and grey with black trim; black moulded synthetic fittings permit adjustment of length; grey synthetic [vinyl ?] reinforcement panels; off-white text decals (?),AS
"Cap, lens",Japan,2011,1998,Moulded black synthetic; black synthetic cord has silver metal fitting.,AS
Battery,Japan,2011,1998,Black moulded synthetic casing; silver metal contacts,AS
"Charger, battery",Japan,2011,1998,Black moulded synthetic casing; silver metal contacts; adhesive-backed paper labels.,AS
"Cord, power supply",China,2011,1998,Black/dark grey moulded synthetic plug housings and covering on metal cords; silver metal prongs,AS
"Insert, box",Japan,2011,1998,White moulded synthetic [Styrofoam] form.,AS
"Box, camera",Japan,2011,1998,"Heavy paper/cardstock box has predominantly black and blue exterior, with yellow, red, green and white graphics and text; interior is unbleached paper.",AS
Bed,Canada,2011,1915,All metal frame end painted brown.,NA
"Frame part, bed",Canada,2011,1915,All metal frame end painted brown.,NA
"Frame part, bed",Canada,2011,1915,All metal frame painted brown.,NA
"Frame part, bed",Canada,2011,1915,All metal frame painted brown.,NA
"Frame part, bed",Canada,2011,1915,All metal frame and springs painted brown.,NA
"Frame part, bed",Canada,2011,1915,All metal rod painted brown.,NA
"Frame part, bed",Canada,2011,1915,All metal rod painted brown.,NA
"Frame part, bed",Canada,2011,1915,All metal rod painted brown.,NA
"Frame part, bed",Canada,2011,1915,All metal rod painted brown.,NA
Airplane,Russia,2011,1975,Predom. aluminum & steel; rubber tires; plastic; plexiglass canopy over cockpit.,EU
"Picker,"" rock",Canada,2011,1980,Primarily metal with rubber components and rubber tires.,NA
Book,Canada,2011,1987,Predom. paper; card stock covers with plastic cirlox spiral binding.,NA
Button,Canada,2011,1950,Predom. steel; paper card; plastic window.,NA
Scale,United States of America,2011,1920,Steel.,NA
Scale,United States of America,2011,1955,Steel.,NA
Notebook,Canada,2011,1938,"Paper pages, card sotck cover; steel staples.",NA
Book,Canada,2011,1952,Predom. paper; card stock covers with plastic cirlox spiral binding.,NA
"Bit, mining drill",Canada,2011,2002,It is a gold painted metal bit.,NA
Helmet,Canada,2011,1956,"It is a molded fibreglass helmet with leather straps and headband inside the helmet, fabric cord outside and fabric straps inside the helmet with a fabric shoelace through the fabric straps inside the helmet, front of the helmet has a metal bracket to attach the miner's lamp and on the back of the helmet a leather snap.",NA
"Lamp, electric",Canada,2011,1984,"It is has a hard orange synthetic casing around the light and the battery with clear synthetic panels protecting the tungsten halogen lights, black synthetic dial, metal clip, metal hardware and a black (rubber?) cord witha light grey synthetic piece at the end, two metal and synthetic brackets where the belt goes through to attach the battery to the miner waist.",NA
"Vehicle, unmanned aerial",Canada,2011,2008,Synthetic and metal [including copper] composition.,NA
"Vehicle part, unmanned aerial",Canada,2011,2008,synthetic,NA
Camera,Japan,2011,2008,Predominantly smooth black metal and synthetic; clear glass optics; some silver metal fittings; white printed text and graphics.,AS
Controller,Canada,2011,2008,Predominantly smooth black metal and synthetic; clear synthetic (?) view screen; some silver metal and red synthetic fittings.,NA
"Tool, alignment",Canada,2011,2008,Smooth silver metal tool.,NA
"Case, storage-carrying",Canada,2011,2008,Black synthetic fabric [nylon ?] pouch fitted with strip of black Velcro on base; black metal zipper closure.,NA
Earphone,Canada,2011,2008,Rigid black synthetic arm; silver metal mesh covering on round ear piece; green and gold tone metal plate.,NA
Earphone,Canada,2011,2008,Rigid black synthetic arm; silver metal mesh covering on round ear piece; green and gold tone metal plate.,NA
Strap,Canada,2011,2008,Black synthetic fabric (Velcro) strap has bright red synthetic fabric tab sewn on each end.,NA
"Insert, box",Canada,2011,2008,Black rigid synthetic divider has finely wrinkle-textured finish on one side; smooth finish on reverse; black synthetic straps fitted with black Velcro; black/dark grey rigid foam blocks fixed to divider.,NA
